Team A,Team B,Win Team
U Mumba,Patna Pirates,YTP
Haryana Steelers,Bengaluru Bulls,YTP
Telugu Titans,Puneri Paltan,YTP
Jaipur Pink Panthers,Bengaluru Bulls,YTP
Haryana Steelers,Telugu Titans,YTP
U.P. Yoddha,Dabang Delhi K.C.,YTP
Gujarat Fortunegiants,Patna Pirates,YTP
Bengal Warriors,Patna Pirates,YTP
U.P. Yoddha,Puneri Paltan,YTP
Telugu Titans,Gujarat Fortunegiants,YTP
Tamil Thalaivas,Jaipur Pink Panthers,YTP
Bengal Warriors,Tamil Thalaivas,YTP
U.P. Yoddha,Telugu Titans,YTP
U Mumba,Haryana Steelers,YTP
Dabang Delhi K.C.,U Mumba,YTP
U.P. Yoddha,Bengaluru Bulls,YTP
Rank 3,Rank 6,YTP
Rank 4,Rank 5,YTP
Rank 1,Winner Of Eliminator 1,YTP
Rank 2,Winner Of Eliminator 2,YTP
Winner Of Semi-Final 1,Winner Of Semi-Final 2,YTP
U.P. Yoddha,Bengal Warriors,U.P. Yoddha
Bengaluru Bulls,Tamil Thalaivas,Bengaluru Bulls
Puneri Paltan,Haryana Steelers,Haryana Steelers
Telugu Titans,Tamil Thalaivas,Telugu Titans
Jaipur Pink Panthers,Dabang Delhi K.C.,Dabang Delhi K.C.
Bengaluru Bulls,Patna Pirates,Bengaluru Bulls
Puneri Paltan,U Mumba,Match Ti
Patna Pirates,U.P. Yoddha,U.P. Yoddha
Bengaluru Bulls,Telugu Titans,Bengaluru Bulls
Bengal Warriors,Gujarat Fortunegiants,Match Ti
Dabang Delhi K.C.,Haryana Steelers,Haryana Steelers
Dabang Delhi K.C.,Tamil Thalaivas,Dabang Delhi K.C.
Bengal Warriors,Puneri Paltan,Bengal Warriors
U.P. Yoddha,Gujarat Fortunegiants,U.P. Yoddha
Tamil Thalaivas,Patna Pirates,Patna Pirates
Telugu Titans,U Mumba,U Mumba
Haryana Steelers,Jaipur Pink Panthers,Match Ti
Bengal Warriors,U Mumba,Bengal Warriors
Jaipur Pink Panthers,Patna Pirates,Patna Pirates
Bengal Warriors,Bengaluru Bulls,Bengal Warriors
Puneri Paltan,Gujarat Fortunegiants,Puneri Paltan
Tamil Thalaivas,Haryana Steelers,Haryana Steelers
Dabang Delhi K.C.,Gujarat Fortunegiants,Dabang Delhi K.C.
Puneri Paltan,Patna Pirates,Patna Pirates
Jaipur Pink Panthers,U.P. Yoddha,U.P. Yoddha
Telugu Titans,Dabang Delhi K.C.,Dabang Delhi K.C.
U Mumba,U.P. Yoddha,U Mumba
Puneri Paltan,Tamil Thalaivas,Match Ti
Bengal Warriors,Haryana Steelers,Bengal Warriors
Telugu Titans,Patna Pirates,Match Ti
Puneri Paltan,Bengaluru Bulls,Puneri Paltan
Jaipur Pink Panthers,Gujarat Fortunegiants,Match Ti
U.P. Yoddha,Tamil Thalaivas,U.P. Yoddha
U Mumba,Gujarat Fortunegiants,U Mumba
Jaipur Pink Panthers,Bengal Warriors,Bengal Warriors
Patna Pirates,Haryana Steelers,Haryana Steelers
Dabang Delhi K.C.,Bengaluru Bulls,Match Ti
Telugu Titans,Bengal Warriors,Bengal Warriors
Jaipur Pink Panthers,Puneri Paltan,Jaipur Pink Panthers
Patna Pirates,Dabang Delhi K.C.,Dabang Delhi K.C.
U Mumba,Bengaluru Bulls,Bengaluru Bulls
Jaipur Pink Panthers,Telugu Titans,Telugu Titans
Haryana Steelers,U.P. Yoddha,U.P. Yoddha
Gujarat Fortunegiants,Tamil Thalaivas,Gujarat Fortunegiants
Puneri Paltan,Dabang Delhi K.C.,Dabang Delhi K.C.
Haryana Steelers,Gujarat Fortunegiants,Haryana Steelers
Bengal Warriors,Dabang Delhi K.C.,YTP
Tamil Thalaivas,U Mumba,YTP
Gujarat Fortunegiants,Dabang Delhi K.C.,Gujarat Fortunegiants
Telugu Titans,U.P. Yoddha,Match Ti
U Mumba,Gujarat Fortunegiants,U Mumba
Patna Pirates,Jaipur Pink Panthers,Jaipur Pink Panthers
Bengal Warriors,Bengaluru Bulls,Bengaluru Bulls
Haryana Steelers,Tamil Thalaivas,Tamil Thalaivas
Patna Pirates,Puneri Paltan,Puneri Paltan
Dabang Delhi K.C.,Jaipur Pink Panthers,Dabang Delhi K.C.
Gujarat Fortunegiants,Puneri Paltan,Puneri Paltan
U.P. Yoddha,Tamil Thalaivas,Match Ti
Patna Pirates,Haryana Steelers,Haryana Steelers
Telugu Titans,Bengaluru Bulls,Bengaluru Bulls
Bengal Warriors,U Mumba,Bengal Warriors
Patna Pirates,U.P. Yoddha,Patna Pirates
Gujarat Fortunegiants,Tamil Thalaivas,Tamil Thalaivas
Puneri Paltan,Dabang Delhi K.C.,Dabang Delhi K.C.
Bengaluru Bulls,Haryana Steelers,Haryana Steelers
Gujarat Fortunegiants,Telugu Titans,Telugu Titans
Bengal Warriors,Telugu Titans,Match Ti
U.P. Yoddha,Bengaluru Bulls,U.P. Yoddha
U.P. Yoddha,Haryana Steelers,Haryana Steelers
Gujarat Fortunegiants,Bengal Warriors,Bengal Warriors
Jaipur Pink Panthers,Puneri Paltan,Jaipur Pink Panthers
U Mumba,Patna Pirates,U Mumba
Gujarat Fortunegiants,Jaipur Pink Panthers,Jaipur Pink Panthers
Tamil Thalaivas,Bengaluru Bulls,Bengaluru Bulls
Bengal Warriors,Dabang Delhi K.C.,Match Ti
Haryana Steelers,Telugu Titans,Telugu Titans
Tamil Thalaivas,Puneri Paltan,Match Ti
U Mumba,Haryana Steelers,Haryana Steelers
U.P. Yoddha,Jaipur Pink Panthers,U.P. Yoddha
Puneri Paltan,Bengaluru Bulls,Puneri Paltan
Tamil Thalaivas,Jaipur Pink Panthers,Jaipur Pink Panthers
Bengal Warriors,Patna Pirates,Bengal Warriors
Gujarat Fortunegiants,Patna Pirates,Gujarat Fortunegiants
Tamil Thalaivas,U Mumba,U Mumba
Dabang Delhi K.C.,Bengaluru Bulls,Dabang Delhi K.C.
Jaipur Pink Panthers,Telugu Titans,Telugu Titans
Jaipur Pink Panthers,Bengaluru Bulls,Bengaluru Bulls
Dabang Delhi K.C.,U.P. Yoddha,Dabang Delhi K.C.
Bengal Warriors,Haryana Steelers,Haryana Steelers
U.P. Yoddha,Puneri Paltan,U.P. Yoddha
Gujarat Fortunegiants,Haryana Steelers,Haryana Steelers
Dabang Delhi K.C.,U Mumba,Dabang Delhi K.C.
Bengal Warriors,Tamil Thalaivas,Bengal Warriors
Telugu Titans,Puneri Paltan,Puneri Paltan
Dabang Delhi K.C.,Patna Pirates,Dabang Delhi K.C.
Bengaluru Bulls,Gujarat Fortunegiants,Gujarat Fortunegiants
U Mumba,Jaipur Pink Panthers,U Mumba
Telugu Titans,U Mumba,U Mumba 
Bengaluru Bulls,Patna Pirates,Bengaluru Bulls
Bengaluru Bulls,Gujarat Fortunegiants,Gujarat Fortunegiants
Telugu Titans,Tamil Thalaivas,Tamil Thalaivas
U Mumba,Jaipur Pink Panthers,Jaipur Pink Panthers
Puneri Paltan,Haryana Steelers,Haryana Steelers
U.P. Yoddha,Bengal Warriors,Bengal Warriors
Telugu Titans,Dabang Delhi K.C.,Dabang Delhi K.C.
Dabang Delhi K.C.,Tamil Thalaivas,Dabang Delhi K.C.
U.P. Yoddha,Gujarat Fortunegiants,Gujarat Fortunegiants
Telugu Titans,Patna Pirates,Patna Pirates
U Mumba,Puneri Paltan,U Mumba
Jaipur Pink Panthers,Bengal Warriors,Jaipur Pink Panthers
Dabang Delhi K.C.,Haryana Steelers,Dabang Delhi K.C.
U Mumba,Bengaluru Bulls,Bengaluru Bulls
Tamil Thalaivas,Patna Pirates,Patna Pirates
Bengal Warriors,Puneri Paltan,Bengal Warriors
Haryana Steelers,Jaipur Pink Panthers,Jaipur Pink Panthers
U Mumba,U.P. Yoddha,U.P. Yoddha
